"kommune","parti","stemmer"
"0238 Nannestad","Kvinnenes frie folkevalgte",6
"0238 Nannestad","Norges demokratiske parti",3
"0238 Nannestad","Sosialistisk Valgforbund (1973)",354
"0239 Hurdal","Arbeiderpartiet",589
"0239 Hurdal","Høyre",49
"0239 Hurdal","Kristelig Folkeparti",276
"0239 Hurdal","Senterpartiet",169
"0239 Hurdal","Venstre",70
"0239 Hurdal","Rød valgallianse",3
"0239 Hurdal","Det nye Folkepartiet (1973-1977)",68
"0239 Hurdal","Anders Langes parti (1973)",27
"0239 Hurdal","Ensliges parti",3
"0239 Hurdal","Norges demokratiske parti",1
"0239 Hurdal","Sosialistisk Valgforbund (1973)",82
"0301 Oslo kommune","Arbeiderpartiet",97707
"0301 Oslo kommune","Høyre",87700
"0301 Oslo kommune","Kristelig Folkeparti",21621
"0301 Oslo kommune","Rød valgallianse",2558
"0301 Oslo kommune","Det nye Folkepartiet (1973-1977)",10941
"0301 Oslo kommune","Anders Langes parti (1973)",18578
"0301 Oslo kommune","Ensliges parti",1987
"0301 Oslo kommune","Norges demokratiske parti",85
"0301 Oslo kommune","Sosialistisk Valgforbund (1973)",39434
"0301 Oslo kommune","Fellesliste Venstre",5793
"0301 Oslo kommune","Fellesliste Senterpartiet",4620
"0301 Oslo kommune","Andre",2
"0401 Hamar (-1991)","Arbeiderpartiet",5047
"0401 Hamar (-1991)","Høyre",2408
